歌曲名,歌手,榜单,总播放量,平均热度,上榜次数,最佳排名,榜单排名
III,Athletics,['巅峰榜·流行指数'],0,,1,0,310
IF YOU,BIGBANG (빅뱅),"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,6,0,311
I'm in the Mood for Dancing,俞宙 (유주),['巅峰榜·新歌'],0,,1,0,312
I'm OK,AK刘彰/sunkis 宋秉勤,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,313
I think,阿YueYue,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,314
LIKE THAT,BABYMONSTER (베이비몬스터),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,315
LETS RUNAWAY,VEGEE CAU,['巅峰榜·内地'],0,,1,0,316
LALISA,LISA (리사),['巅峰榜·新歌'],0,,1,0,317
Kunio Warriors (国士无双),ZsFlovexl,['巅峰榜·新歌'],0,,1,0,318
Kunio Warriors (Mashup),ZsFlovexl,['巅峰榜·新歌'],0,,1,0,319
Kitsch,IVE (아이브),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,320
Kill Night 耀,刘耀文,"['巅峰榜·热歌', '巅峰榜·新歌']",0,,1,0,321
KateTsui姚可可（prod.555kenichi）,黑兔Hate2,['巅峰榜·内地'],0,,1,0,322
Kaitlyn,粉浪,['巅峰榜·内地'],0,,1,0,323
KNOW ABOUT ME,NMIXX (엔믹스),['巅峰榜·新歌'],0,,1,0,324
KIPINEK,那奇沃夫/Prodby玉/TingleM,['巅峰榜·内地'],0,,1,0,325
Just to be around,杨紫沁,['巅峰榜·内地'],0,,1,0,326
Just one love,噔咦嘁,['巅峰榜·内地'],0,,1,0,327
Just Friends (Explicit),Hayden James/Boy Matthews,['巅峰榜·流行指数'],0,,1,0,328
Just For Love,Cloud9,['巅峰榜·内地'],0,,1,0,329
JoyRide,CORTIS,['巅峰榜·新歌'],0,,1,0,330
Left and Right,Charlie Puth/Jung Kook/BTS (防弹少年团),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,331
Leave The Door Open,Bruno Mars/Anderson .Paak/Silk Sonic,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,332
Leave Me Alone,关浩德Walter,['巅峰榜·内地'],0,,1,0,333
Last King Freestyle,艾志恒Asen,['巅峰榜·内地'],0,,1,0,334
Ladyboy,MC HotDog 热狗/马念先,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,335
Lady be like (女人样),于贞,['巅峰榜·内地'],0,,1,0,336
La La La (Kaos Remix / Bonus Track),Naughty Boy/Sam Smith,['巅峰榜·流行指数'],0,,1,0,337
La La La,Naughty Boy/Sam Smith,['巅峰榜·流行指数'],0,,1,0,338
LOVE SCENARIO (曾经爱过),iKON (아이콘),['巅峰榜·流行指数'],0,,1,0,339
LOVE LOVE,也可,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,340
LOVE COUNTDOWN (Feat. Wonstein),娜琏 (나연)/Wonstein (원슈타인),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,341
LOSER,米津玄師 (よねづ けんし),['巅峰榜·流行指数'],0,,2,0,342
LOOK FOR ME,满舒克,['巅峰榜·新歌'],0,,1,0,343
LONGING,Alceo Lazzari,['巅峰榜·新歌'],0,,1,0,344
LOCO,ITZY (있지),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,345
LMLY,王嘉尔,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,346
Lights-Off,张羽涵Leezi,['巅峰榜·内地'],0,,1,0,347
Light Comes Up,冬天吃了秋天/CK梨/142,['巅峰榜·内地'],0,,1,0,348
Life's Too Short (English Ver.),aespa (에스파),"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,349
Life Goes On,Oliver Tree,['巅峰榜·流行指数'],0,,1,0,350
Life,汪济深Wangdaland,['巅峰榜·内地'],0,,1,0,351
Letting Go (释怀版),苏星婕,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,2,0,352
Letting Go (女版),陈之,['巅峰榜·流行指数'],0,,1,0,353
Letting Go (Live),汪苏泷/吉克隽逸,['巅峰榜·热歌'],0,,1,0,354
Letting Go,蔡健雅,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,14,0,355
Letting Go,林思欣,['巅峰榜·流行指数'],0,,1,0,356
Let me go (prod.Nashi),Yunnyyyy,['巅峰榜·内地'],0,,1,0,357
Let me down,艾克斯Dragon/CrispyHerry,['巅峰榜·内地'],0,,1,0,358
Let Me Love You,DJ Snake/Justin Bieber,['巅峰榜·流行指数'],0,,1,0,359
Let Love Win,TheFatRat/Anjulie,['巅峰榜·新歌'],0,,1,0,360
Let Go,黄礼格/队长,['巅峰榜·流行指数'],0,,1,0,361
Lemon,米津玄師 (よねづ けんし),['巅峰榜·流行指数'],0,,2,0,362
Love Story (Taylor's Version),Taylor Swift,['巅峰榜·流行指数'],0,,1,0,363
Love Story (Elvira Remix),Taylor Swift,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,364
Love Story,Taylor Swift,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,7,0,365
Love Scene,伯贤 (백현),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,366
Love Me Like This,NMIXX (엔믹스),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,367
Love Love,金润吉,['巅峰榜·流行指数'],0,,1,0,368
Lost Without You,Alex Darling,['巅峰榜·内地'],0,,1,0,369
Lost Control,Agera,['巅峰榜·内地'],0,,1,0,370
Lost Cause (Explicit),Billie Eilish,['巅峰榜·新歌'],0,,1,0,371
Lost,Maroon 5,['巅峰榜·新歌'],0,,1,0,372
Losing Game,元气牛油果,['巅峰榜·内地'],0,,1,0,373
Lose Control,MIKS,['巅峰榜·内地'],0,,1,0,374
Look What You Made Me Do,Taylor Swift,['巅峰榜·流行指数'],0,,1,0,375
Little Present,黄玠玮,['巅峰榜·内地'],0,,1,0,376
Like a Flower,窦佳嫄,['巅峰榜·内地'],0,,1,0,377
Like You Do,林俊杰,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,378
MAYBE IT'S ME,米卡,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,379
MARRY SONG.,Zeen,['巅峰榜·内地'],0,,1,0,380
MANIAC,Stray Kids (스트레이 키즈),['巅峰榜·新歌'],0,,1,0,381
MAGNETIC,Rain (郑智薰)/王嘉尔,['巅峰榜·新歌'],0,,1,0,382
MAGENTA POTION,阿吉野马,['巅峰榜·新歌'],0,,1,0,383
Lydia (男声版),郑鱼,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,384
Lydia,黄霄雲,['巅峰榜·新歌'],0,,1,0,385
Luv Cuz Fever 爱是龟壳,Or1ando/说唱者联盟,['巅峰榜·内地'],0,,1,0,386
Lullaby,CORTIS,['巅峰榜·新歌'],0,,1,0,387
Lucky Girl Syndrome,ILLIT (아일릿),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,388
Lover Like Me,CL (李彩麟),['巅峰榜·新歌'],0,,1,0,389
Lover Boy 88 (纯享版),林墨/陈俊洁/张腾/张嘉元,['巅峰榜·新歌'],0,,1,0,390
Lover,Taylor Swift,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,2,0,391
Love is over,Liam NY,['巅峰榜·内地'],0,,1,0,392
Love You Like A Love Song (新版),七元,['巅峰榜·流行指数'],0,,1,0,393
Love U2,陈伟霆,['巅峰榜·热歌'],0,,1,0,394
Miss Me Too,任泽华,['巅峰榜·内地'],0,,1,0,395
Milan,Youngior,['巅峰榜·内地'],0,,1,0,396
Midnight Fiction,ILLIT (아일릿),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,397
Midday Sleep,陈燕姿,['巅峰榜·内地'],0,,1,0,398
Memory Panic,新娘危机BridesCrisis/法线干扰乐队,['巅峰榜·内地'],0,,1,0,399
Melody,少女时代-Oh! GG (소녀시대-오!지지),['巅峰榜·新歌'],0,,1,0,400
Mannequin 塑料模特,SIENA,['巅峰榜·内地'],0,,1,0,401
Make Your Own Way,BorderWalker/鸡皮疙瘩,['巅峰榜·内地'],0,,1,0,402
Magnetic,ILLIT (아일릿),"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,403
Ma direction (混音|Freshkinho Remix),DjFreshkinho,['巅峰榜·流行指数'],0,,1,0,404
MORE,胡夏,['巅峰榜·新歌'],0,,1,0,405
MOOD CATCHER,GT/K. Zoom,['巅峰榜·内地'],0,,1,0,406
MONEY,LISA (리사),['巅峰榜·新歌'],0,,1,0,407
MISSING YOU,R. City,['巅峰榜·流行指数'],0,,1,0,408
MINE,钱润玉Runyu/Sweater Beats,['巅峰榜·内地'],0,,1,0,409
MEOW,MEOVV (미야오),['巅峰榜·新歌'],0,,1,0,410
NOT SORRY (Feat. pH-1) (Prod. by Slom),李泳知 (이영지)/pH-1,['巅峰榜·新歌'],0,,1,0,411
NO PROBLEM (Feat.Felix (Stray Kids)),娜琏 (나연)/필릭스 (Felix),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,412
NATASHA,乃万NINEONE,['巅峰榜·新歌'],0,,1,0,413
My love My Bae (好像你一直都在这里),木子易,['巅峰榜·流行指数'],0,,1,0,414
My love (说了再多你却毫不在意),陆杰awr,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,415
My World,ILLIT (아일릿),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,416
My Soul,张新成,['巅峰榜·新歌'],0,,1,0,417
My Heart Will Go,DJ小姨,['巅峰榜·流行指数'],0,,1,0,418
Mr.J,刘瑞琦,['巅峰榜·内地'],0,,1,0,419
Moon,白雾,['巅峰榜·内地'],0,,1,0,420
Monsters (MushrooM Remix),Katie Sky,['巅峰榜·流行指数'],0,,1,0,421
Monday,窦靖童,['巅峰榜·内地'],0,,1,0,422
Moment,刘忻/遗忘俱乐部,['巅峰榜·内地'],0,,1,0,423
Mob,大摆锤乐队（pendulum ride）,['巅峰榜·内地'],0,,1,0,424
MoJiaDai 莫加戴,万妮达Vinida Weng,['巅峰榜·内地'],0,,1,0,425
Missing you,赵旋/王粲雯SEVEN/Sarah彭彭,['巅峰榜·内地'],0,,1,0,426
Not Friendly (Live),GAI周延,['巅峰榜·流行指数'],0,,1,0,427
Not Angry,Chris James,['巅峰榜·流行指数'],0,,1,0,428
Normal No More (Explicit),TYSM,['巅峰榜·流行指数'],0,,1,0,429
"Nobody Like U (From ""Turning Red""/Soundtrack Version)",4*TOWN/Jordan Fisher/Finneas O'Connell/Josh Levi,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,430
No Time To Die,Billie Eilish,['巅峰榜·流行指数'],0,,1,0,431
No Sweat,Milk,['巅峰榜·内地'],0,,1,0,432
No Love (Extended Version|Explicit),Summer Walker/SZA/Cardi B,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,433
No Explanations,张颜齐/Stephanie Poetri/Elephante,['巅峰榜·内地'],0,,1,0,434
No Cap Kil (高燃硬曲),XiRXG,['巅峰榜·流行指数'],0,,1,0,435
Nighty Night 晚安,刘耀文,"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,436
New Boy,房东的猫,['巅峰榜·流行指数'],0,,1,0,437
New Agee (Deep Phonk),XloveSF,['巅峰榜·新歌'],0,,1,0,438
Never say goodbye,Jerrosl4/D.L,['巅峰榜·内地'],0,,1,0,439
Neon Dash (feat.JIN),IDKAATAL/电音联盟,['巅峰榜·内地'],0,,1,0,440
NUNA3.0,郑润泽,['巅峰榜·新歌'],0,,1,0,441
NUNA 2.0,队长/叶琼琳,['巅峰榜·新歌'],0,,1,0,442
"Oh,Bunny",脉冲星  (The Pulsar),['巅峰榜·内地'],0,,1,0,443
Oh Tell Me Why,喻言,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,444
Oh Santa!,Mariah Carey/Ariana Grande/Jennifer Hudson,['巅峰榜·新歌'],0,,1,0,445
Off The Hook,Jeff Jarvis,['巅峰榜·流行指数'],0,,1,0,446
ORIGINAL,斑比Bambii/FEEEleven/Kc/RaCie,['巅峰榜·内地'],0,,1,0,447
"ON AIR (Feat. 로꼬, 박재범 & GRAY)",lIlBOI (릴보이)/Loco (로꼬)/朴宰范 (Jay Park)/GRAY (그레이),['巅峰榜·新歌'],0,,1,0,448
OMG – FRNK Remix,NewJeans (뉴진스),['巅峰榜·新歌'],0,,1,0,449
OKAY (A版|Live),何德瑞/十七/孙滢皓/亿轩,['巅峰榜·流行指数'],0,,1,0,450
Nowadays,李沐籽,['巅峰榜·内地'],0,,1,0,451
Now's Great,吴姝凝哇噻呐,['巅峰榜·内地'],0,,1,0,452
Now & Forever,雷雨心,['巅峰榜·内地'],0,,1,0,453
November 14th,赤潮RedTide,['巅峰榜·内地'],0,,1,0,454
Notorious,Maga,['巅峰榜·新歌'],0,,1,0,455
Nothing's gonna change my love for you (七元版),七元,['巅峰榜·新歌'],0,,1,0,456
Nothing ever stops me,LÜCY/Jaguar Sun,['巅峰榜·内地'],0,,1,0,457
Nothin'on Me,Huiyi,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,458
PRESSURE,袁娅维TIA RAY,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,459
POP!,娜琏 (나연),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,460
PLEASE THINK OF ME,Shu,['巅峰榜·内地'],0,,1,0,461
PING PONG,현아&던 (HyunA&DAWN),['巅峰榜·新歌'],0,,1,0,462
PHOENIX,FPX/Chrissy Costanza/Against the Current,['巅峰榜·新歌'],0,,1,0,463
Over Gone (Phonk),VZEUS/Jamvana,['巅峰榜·新歌'],0,,1,0,464
Outside,Calvin Harris/Ellie Goulding,['巅峰榜·流行指数'],0,,1,0,465
Only U (I Wanna Be Down),HINA,['巅峰榜·内地'],0,,1,0,466
Only Gets Better,ChoY,['巅峰榜·内地'],0,,1,0,467
One Spot,沈佳润 (NINA),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,468
One Of The Girls,The Weeknd/JENNIE (제니)/Lily-Rose Depp,['巅峰榜·新歌'],0,,1,0,469
Once Upon A Time (House Extended Mix),Max Oazo/Moonessa,['巅峰榜·流行指数'],0,,1,0,470
On my way,Franky弗兰奇,['巅峰榜·内地'],0,,1,0,471
On The Ground,ROSÉ (로제),['巅峰榜·新歌'],0,,1,0,472
On My Mind,Alex Warren/ROSÉ (로제),['巅峰榜·流行指数'],0,,1,0,473
Old Town Road (Remix),Lil Nas X/Billy Ray Cyrus/Young Thug/Mason Ramsey,['巅峰榜·流行指数'],0,,1,0,474
Pink Venom,BLACKPINK (블랙핑크),['巅峰榜·热歌'],0,,1,0,475
Pillow Talk,Veegee徐若侨,['巅峰榜·内地'],0,,1,0,476
Pick Me Up,闪星TwinkleStar,['巅峰榜·内地'],0,,1,0,477
Philip Marlowe (菲利普马洛),Berlin Psycho Nurses,['巅峰榜·内地'],0,,1,0,478
Phantom,威神V(WayV),['巅峰榜·新歌'],0,,1,0,479
Performer,Chill_JI,['巅峰榜·内地'],0,,1,0,480
Perfect World,TWICE (트와이스),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,481
Peaches (Remix|Explicit),Justin Bieber/Ludacris/Usher/Snoop Dogg,['巅峰榜·新歌'],0,,1,0,482
Peaches (Masterkraft Remix|Explicit),Justin Bieber/Alpha P/Omah Lay,['巅峰榜·流行指数'],0,,1,0,483
Peaches (Explicit),Justin Bieber/Daniel Caesar/GIVĒON,['巅峰榜·新歌'],0,,1,0,484
Payphone,Maroon 5/Wiz Khalifa,['巅峰榜·流行指数'],0,,1,0,485
Party是我家,蜜瓜夜晚,['巅峰榜·内地'],0,,1,0,486
Paradise,Alan Walker/K-391/Boy In Space,['巅峰榜·新歌'],0,,1,0,487
Panorama,IZ*ONE (아이즈원),['巅峰榜·新歌'],0,,1,0,488
Panic,범규 (崔杋圭),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,489
PUPPET SHOW,XG,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,490
ROUSE (唤醒),齐奕同/董子龙/M&K/Taisheng Music,['巅峰榜·内地'],0,,1,0,491
RINGO (苹果),ITZY (있지),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,492
RE:WIND,饭卡/阿萨Aza,['巅峰榜·内地'],0,,1,0,493
RAVE LOVE 2,OAO,['巅峰榜·内地'],0,,1,0,494
Purpose of Life,元气牛油果,['巅峰榜·内地'],0,,1,0,495
Pure Ocean (带上耳机感受更佳),Hardwal,['巅峰榜·流行指数'],0,,1,0,496
Pump Up,朱婧汐Akini Jing,['巅峰榜·内地'],0,,1,0,497
Pull Up,PANTHEPACK,['巅峰榜·新歌'],0,,1,0,498
Proplayer,A2WT5保持警惕/Xelly小丽/皮特潘/王未来,['巅峰榜·内地'],0,,1,0,499
Privacy,伯贤 (백현),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,500
Priority,最强昌珉/太妍 (태연)/WINTER (윈터),['巅峰榜·新歌'],0,,1,0,501
Pretty Please,Hearts2Hearts,['巅峰榜·新歌'],0,,1,0,502
Pray Alone,BorderWalker/鸡皮疙瘩,['巅峰榜·内地'],0,,1,0,503
Power (In Your Soul),Interupt/Luna LePage,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,2,0,504
Ponzona,PURPLE KISS (퍼플키스),['巅峰榜·新歌'],0,,1,0,505
Poetess,LÜCY,['巅峰榜·内地'],0,,1,0,506
Right Back,D.N.A/张艺兴,['巅峰榜·流行指数'],0,,1,0,507
Rich Man (English Ver.),aespa (에스파),['巅峰榜·新歌'],0,,1,0,508
Rhythm Of The Water,ZHANGYE/Pia Toscano,['巅峰榜·内地'],0,,1,0,509
Retro Lover,和平和浪,['巅峰榜·内地'],0,,1,0,510
Replay,FiFi Zhang,['巅峰榜·内地'],0,,1,0,511
Remember Our Summer,FrogMonster,['巅峰榜·流行指数'],0,,2,0,512
Recite a Poem园 (Feat.李紫婷),FOX胡天渝/MiMi李紫婷,['巅峰榜·内地'],0,,1,0,513
Recall (Radio Edit),Kauapk,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,514
Reality (Christmas Mix|Mixed),Lost Frequencies/Janieck,['巅峰榜·新歌'],0,,1,0,515
Real Me,胡碧云,['巅峰榜·内地'],0,,1,0,516
Ready now (Live),Ghost (王琳凯),['巅峰榜·流行指数'],0,,1,0,517
Ready For Love,BLACKPINK (블랙핑크),['巅峰榜·新歌'],0,,1,0,518
Ready 2 Shoot,GT,['巅峰榜·内地'],0,,1,0,519
Raining,Ghost (王琳凯),['巅峰榜·新歌'],0,,1,0,520
Radio (纯享版),奥斯卡OZCARWANG/周柯宇/谷柳霖/凌箫,['巅峰榜·新歌'],0,,1,0,521
Radio (Dum-Dum),宋雨琦 (YUQI) (우기),"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,2,0,522
Running Up That Hill (DJ版),Trinix Remix,['巅峰榜·流行指数'],0,,1,0,523
Running Out Of Roses,Alan Walker/Jamie Miller,['巅峰榜·新歌'],0,,1,0,524
Runaway,EXO (엑소),['巅峰榜·新歌'],0,,1,0,525
Run To Me,汤乐队,['巅峰榜·内地'],0,,1,0,526
Romantic Light,Youngior,['巅峰榜·内地'],0,,1,0,527
Rollin,Don7,['巅峰榜·新歌'],0,,1,0,528
Rockstar,LISA (리사),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,529
Robot Swing Me to the Moon,Robot Swing/陈以恒,['巅峰榜·内地'],0,,1,0,530
Rising Land,苏醒AllenSu,['巅峰榜·新歌'],0,,1,0,531
Ring The Alarm,KARD (카드),['巅峰榜·新歌'],0,,1,0,532
Ring Ring Ring (最热男版),Gaston庞加斯顿,['巅峰榜·流行指数'],0,,1,0,533
Ring Ring Ring,吴可儿Woo,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,534
Ring Ring Ring,何曼婷,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,535
Ring Ring Ring,不是花火呀,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,536
Ring Ring Ring,S.H.E,['巅峰榜·流行指数'],0,,1,0,537
Right Now,NewJeans (뉴진스),['巅峰榜·新歌'],0,,1,0,538
Seasons (Futuristik & Whogaux Remix),Rival/Cadmium/Harley Bird,['巅峰榜·流行指数'],0,,1,0,539
Say If,Ameliekiko,['巅峰榜·内地'],0,,1,0,540
Savin' Up My Energy,莉莉童,['巅峰榜·内地'],0,,1,0,541
Saturday Drip,NCT DREAM (엔시티 드림),['巅峰榜·新歌'],0,,1,0,542
Salt,Ava Max,['巅峰榜·热歌'],0,,1,0,543
Sad Boy (feat. Ava Max & Kylie Cantrall),R3HAB/Jonas Blue/Ava Max/Kylie Cantrall,['巅峰榜·新歌'],0,,1,0,544
SWIPE,ITZY (있지),['巅峰榜·新歌'],0,,1,0,545
SWEATER,Ghost (王琳凯)/Sueco,['巅峰榜·新歌'],0,,1,0,546
STYLE,Hearts2Hearts,['巅峰榜·新歌'],0,,1,0,547
STAY (Explicit),The Kid LAROI/Justin Bieber,['巅峰榜·流行指数'],0,,2,0,548
STAR WALKIN' (Clean),Lil Nas X,['巅峰榜·新歌'],0,,1,0,549
SOS（Future Bass）,Kord,['巅峰榜·新歌'],0,,1,0,550
SOLO,Rico Zayd,['巅峰榜·内地'],0,,1,0,551
SHEESH,BABYMONSTER (베이비몬스터),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,552
SET ME FREE,TWICE (트와이스),['巅峰榜·新歌'],0,,1,0,553
S.H.E.,Lil Zkay,['巅峰榜·内地'],0,,1,0,554
Shivers,Ed Sheeran,['巅峰榜·新歌'],0,,1,0,555
Shine Brighter (愈加璀璨),希林娜依高,['巅峰榜·新歌'],0,,1,0,556
She's my boo (她的美丽只有我抓得住),xxxmiracle/knowme,['巅峰榜·内地'],0,,1,0,557
She,Vicky宣宣,['巅峰榜·内地'],0,,1,0,558
Sharks,Imagine Dragons,['巅峰榜·新歌'],0,,1,0,559
Shadow of the Sun,Max Elto,['巅峰榜·流行指数'],0,,1,0,560
Shadow of the Sun,Alexer Lyton,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,561
Seven Days,Mark Medlock,['巅峰榜·流行指数'],0,,1,0,562
Sequence,IZ*ONE (아이즈원),['巅峰榜·新歌'],0,,1,0,563
Send It (feat. Rich Homie Quan),Austin Mahone/Rich Homie Quan,['巅峰榜·流行指数'],0,,1,0,564
Self Love (Spider-Man: Across the Spider-Verse),Metro Boomin/Coi Leray,['巅峰榜·新歌'],0,,1,0,565
Seefeel (数白榄),张璐诗Lucy Cheung,['巅峰榜·内地'],0,,1,0,566
See You (白狐),Acacia,['巅峰榜·新歌'],0,,1,0,567
See Ya,任嘉伦,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,568
See Tình (Speed Up Version),Hoàng Thùy Linh,['巅峰榜·流行指数'],0,,1,0,569
See Tinh,阿吉野马,['巅峰榜·新歌'],0,,1,0,570
Song For Birds,The Leg Signals 脚信号,['巅峰榜·内地'],0,,1,0,571
Sometimes,KnowKnow,['巅峰榜·内地'],0,,1,0,572
Something Worth Saving (爱依然存在),孟佳,['巅峰榜·新歌'],0,,1,0,573
Somebody Like You,FrogMonster/GATTÜSO/KZ Tandingan,['巅峰榜·内地'],0,,1,0,574
Sold Out,Hawk Nelson/Jonathan Steingard,['巅峰榜·流行指数'],0,,1,0,575
So Bad (feat. 王嘉尔),VaVa娃娃/王嘉尔,['巅峰榜·新歌'],0,,1,0,576
Snow Dream 2021,YERI (예리)/楷灿 (해찬)/辰乐 (천러)/志晟 (지성),['巅峰榜·新歌'],0,,1,0,577
"Smoke (Prod. Dynamicduo, Padi)",Dynamicduo (다이나믹 듀오)/李泳知 (이영지),['巅峰榜·新歌'],0,,1,0,578
Small girl (feat. 도경수(D.O.)),李泳知 (이영지)/D.O. (都暻秀),"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,579
Slow Down,Madnap/Pauline Herr,['巅峰榜·流行指数'],0,,1,0,580
Slow,梁晓雪,['巅峰榜·内地'],0,,1,0,581
Sleeping Beauty,幸儿ECHASL,['巅峰榜·内地'],0,,1,0,582
Sky Walker,TF家族/张峻豪SHUN,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,583
Shut Down,BLACKPINK (블랙핑크),['巅峰榜·新歌'],0,,1,0,584
Show it Ben,大川Dietry,['巅峰榜·新歌'],0,,1,0,585
Shooting Star,Kep1er (케플러),['巅峰榜·新歌'],0,,1,0,586
Stop Sugar (B版|Live),李钦/罗一舟/唐九洲/汪佳辰,['巅峰榜·流行指数'],0,,1,0,587
Still Alone,Kenxo,['巅峰榜·内地'],0,,1,0,588
Steal My Clothes (LP Giobbi Remix|Explicit),Kito/Bea Miller,['巅峰榜·流行指数'],0,,1,0,589
Steady My Love,林俊杰,['巅峰榜·新歌'],0,,1,0,590
Steady,NCT WISH (엔시티 위시),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,591
Stay This Way,fromis_9 (프로미스나인),['巅峰榜·新歌'],0,,1,0,592
Stay,唐灏MickeyTown,['巅峰榜·内地'],0,,1,0,593
Stay,Chad Graham,['巅峰榜·新歌'],0,,1,0,594
Stars Align,R3HAB/蔡依林,['巅峰榜·新歌'],0,,1,0,595
Star Ring,TetraCalyx,['巅峰榜·内地'],0,,1,0,596
Star Crossing Night (feat. GALI),徐明浩/GALI,['巅峰榜·热歌'],0,,1,0,597
Spicy Honey,虞书欣,['巅峰榜·新歌'],0,,1,0,598
Space Melody (Edward Artemyev),VIZE/Alan Walker/Leony/Edward Artemyev,['巅峰榜·新歌'],0,,1,0,599
Soñar (Breaker),NMIXX (엔믹스),['巅峰榜·新歌'],0,,1,0,600
Soul,陈亦云,['巅峰榜·内地'],0,,1,0,601
"Sorry, 但是",三角猫（mYrtl3V）/麻辣桔,['巅峰榜·内地'],0,,1,0,602
TRUE,요아리 (YOARI),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,603
TOMBOY,BLAST/恒川/南思鸭,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,604
THATS WHAT I WANT (Explicit),Lil Nas X,['巅峰榜·新歌'],0,,1,0,605
TAKE IT AWAY,张峻豪SHUN,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,606
Sweet but Psycho,Ava Max,['巅峰榜·流行指数'],0,,1,0,607
Sweet Dreams,Alan Walker/Imanbek,['巅峰榜·新歌'],0,,1,0,608
Superstar (Mars Remix),Mars,['巅峰榜·新歌'],0,,1,0,609
